created_at,author_id,text,source,geo,lang,name,username,location,verified,description,profile_image_url
2023-02-25 23:03:54+00:00,904803253.0,"RT @BoyacaLEinforma: #Boyacá presente en el Festival de música andina colombiana más grande del país, según la información de El periódico…",,,es,Lorena Quintana,LorenaQuintan16,,False,Periodista en el departamento de Boyacâ,https://pbs.twimg.com/profile_images/1528423714752167937/Ycl76qjP_normal.jpg
2023-02-25 22:47:16+00:00,371979514.0,"⚠ Vocalista de Def Leppard fue hospitalizado en Bogotá a horas de concierto en Perú: ¿qué le pasó?

El músico preocupó a fans con su estado de salud tras llegar a la capital colombiana.
https://t.co/VctRTXTh63",,,es,Entretenimiento La República,LRTendencias,Perú,False,"@LaRepublica_pe te informa sobre los acontecimientos del mundo del espectáculo 📺 🎭, cine 📽 🎬 y las tendencias en redes sociales 🌐.",https://pbs.twimg.com/profile_images/1583865110556188672/l7m4SXU3_normal.jpg
2023-02-25 22:04:29+00:00,133911324.0,"Viendo la nueva serie colombiana “la primera vez” me sentía como si estuviera leyendo viva la música de Andres Caicedo. Y si, la obra de Caicedo es mucho más cruda e incluso me atrevo a decir que mucho más real pero eran los detalles; la musica, el espacio, las drogas+",,,es,evelyn,evelynmachadom,,False,no tengo talento pero echo pa lante,https://pbs.twimg.com/profile_images/1553791347001331712/7CnsP-wL_normal.jpg
2023-02-25 21:26:01+00:00,1.2712466023851377e+18,"RT @buleriaz: cierta colombiana NUNCA podria escribir, producir, bailar y cantar una música como aislamiento ni si quisiera. rosi sigue sie…",,,es,Pks_Paco,PacoPks,,False,"Aquí cuento algo de vez en cuando, pero en mi insta (pks_paco) subo maquillajes💘💘",https://pbs.twimg.com/profile_images/1470119609474953220/XUklxeAQ_normal.jpg
2023-02-25 21:07:27+00:00,2607844503.0,"@jantedair @_OskrRM @Indie5051 Es que bueno. No es lo mismo la cumbia colombiana al reggaeton, en particular, la música de BB. En los créditos de la canción está Tainy como productor, y la verdad, la canción suena como cualquier otra que ha hecho Bad Bunny con unos tintes de Gorillaz. 1/2",,,es,א,yxeneryz,,False,,https://pbs.twimg.com/profile_images/1607452814778802177/Ov2QujHg_normal.jpg
2023-02-25 20:57:13+00:00,27017545.0,"@Anitta  que chegou a virar chacota por copiar coreografias da @Beyonce hoje virou o jogo, é a @shakira que copiou ela em letra e música com a sensação colombiana @karolg",,,pt,Rubens Junior,rubensjrweb,Rio de Janeiro,False,Seguindo...,https://pbs.twimg.com/profile_images/1616804343340044290/IToa7aBl_normal.jpg
2023-02-25 20:52:24+00:00,1.604315445758251e+18,"RT @ecuavisa: La cantante colombiana Shakira continúa rompiendo esquemas en el mundo del espectáculo con cada canción que estrena. 🎶

Te co…",,,es,Marielyg2,Marielyg1976,,False,,https://pbs.twimg.com/profile_images/1604315614587326465/w-TpWhKQ_normal.jpg
2023-02-25 20:46:17+00:00,97513349.0,"La cantante colombiana Shakira continúa rompiendo esquemas en el mundo del espectáculo con cada canción que estrena. 🎶

Te contamos 📲 https://t.co/RXy4m703yH https://t.co/COmEHceDWG",,,es,Ecuavisa,ecuavisa,Ecuador,True,"Al aire desde el 1 de Marzo de 1967, somos la principal estación de televisión de Ecuador. @EcuavisaInforma | @politikcorrecta",https://pbs.twimg.com/profile_images/1529435944193077248/9diC103D_normal.jpg
2023-02-25 20:36:50+00:00,1.0925191355720991e+18,"#Boyacá presente en el Festival de música andina colombiana más grande del país, según la información de El periódico El #Diario. A esta integralidad, se suma el regreso del tradicional homenaje a #Garzón y Collazos en el Cementerio San Bonifacio de...

https://t.co/aqZxyEdZZ2 https://t.co/BHSFybfu5I",,,es,BoyacaLEinforma,BoyacaLEinforma,,False,La más completa información del acontecer boyacense.,https://pbs.twimg.com/profile_images/1615699602992238593/1IXVxI1g_normal.jpg
2023-02-25 20:09:14+00:00,1100179878.0,"@estoescambio Al bambuco lo hemos considerado una expresión autóctona de la música colombiana.
Sin embargo nunca escuché bambucos en las emisoras que ponía mi abuela en el campo, nunca.
Solo los escucho en los festivales de música o escasos programas de radio especializados",,,es,Carlos Mario,kakaoinfo,"Medellín, Colombia",False,Diseñador industrial y gráfico. Orgulloso de mis raíces antioqueñas pero avergonzado de lo que son hoy,https://pbs.twimg.com/profile_images/1585061255974363136/Vw0po6jr_normal.jpg
2023-02-25 19:51:37+00:00,26642723.0,"RT @itaucol: ¡Queda poco tiempo! ⏱️
Vive el recorrido de 15 años de música colombiana, retratado por un grupo de 10 fotógrafos y déjate lle…",,,es,Jorge Arciniegas,JorgeArciniegas,"Bogota, Colombia",False,Periodista especialista en comunicación organizacional. Amante de la paz y el respeto. Opino por mí y por nadie más. Fotos: Exposición Mutación Perversa ARTBO.,https://pbs.twimg.com/profile_images/1017103076455481345/bGG5dTs3_normal.jpg
2023-02-25 19:39:05+00:00,298687974.0,"@RelikoNp @delbajoespectro Ella supuestamente dice que la cachapa es colombiana y en Venezuela se hacen la cachapas con HARÍNA PAN, no creo que te pongas a moler maíz como la mujer con el paño rojo en la cabeza y que parezcas familiar de Marko Música",,,es,Mary V. Cedeño C.,soymaryvale1,"Santiago, Chile",False,"Profesional de RRHH en proceso, inmigrante, esposa, hija, hermana, patriota, hija de Dios libre y de buenas costumbres, provida 💙",https://pbs.twimg.com/profile_images/1597440029676097536/etDR57qJ_normal.jpg
2023-02-25 19:28:32+00:00,384269409.0,"L'italia non è un paese razzista ma già in tre declinano l'invito al colombiano in cui si balla pure musica latina perché ""eh ma non è un bel posto, ci sono i neri""...BEH se fa cucina colombiana ed è frequentato da colombiani farà buona cucina colombiana, no? E vanno in error 404",,,it,Not this girl ☯️,heartilly90,,False,Bastarda e degenerata | ✨Sono sapiosessuale nel senso che amo me stessa✨,https://pbs.twimg.com/profile_images/693430717963976704/0NsOFIaJ_normal.jpg
2023-02-25 19:22:15+00:00,115705156.0,"RT @diariodelhuila: #Huila 📣👀🎼

Este año el departamento del Tolima lleva a cabo la versión 37 del Festival Nacional de la Música Colombian…",,,es,Alberto Ivan Cortes Duque,ALIVANCODiablo,"Neiva, Colombia",False,"Gestor Cultural y Turístico, Asesor, Consultor, Catedratico Univ. y Parejo Of. del Reinado Nal. del Bambuco. alivancodiablo@hotmail.com",https://pbs.twimg.com/profile_images/1215509038/FOTO_AICD_normal.jpg
2023-02-25 19:20:05+00:00,150262899.0,"#Huila 📣👀🎼

Este año el departamento del Tolima lleva a cabo la versión 37 del Festival Nacional de la Música Colombiana que recoge a los mayores exponentes del folclor. El Huila tendrá una importante representación.
Leer más https://t.co/pz9efLChHk",,,es,Diario del Huila,diariodelhuila,"Neiva, Huila",False,"55 años ✍️ escribiendo las historias de nuestra región. 📰💙 #Huila #Neiva
Desde 1966",https://pbs.twimg.com/profile_images/1595483491818520594/DCldquSU_normal.jpg
2023-02-25 19:00:38+00:00,237030765.0,@_OskrRM @Indie5051 Que mente tan cerrada debes tener para no aceptar de Damon realmente quizo hacer una collab con el porque le gusta todo tipo de música?. Hasta cuando vino a Mty fue a la col. Independencia a escuchar música cumbia colombiana.,,,es,dan ☕️,jantedair,"Monterrey, México",False,.,https://pbs.twimg.com/profile_images/1627573136001572864/07W1KjjN_normal.jpg
2023-02-25 19:00:20+00:00,117109734.0,"#CulturaCaracol #Música | Romeo Santos, Quevedo y Justin Quiles son algunos nombres de los artistas que estarán presentes en el nuevo proyecto musical de la artista colombiana y que llevará por nombre ‘Mañana será bonito’. 😮 https://t.co/iZyf0KhbUt",,,es,Caracol Televisión,CaracolTV,Colombia,True,"#TúNosVesCaracolTeVe | 
#LaDescarga 8:00 p.m.
#LosMedallistas 9:30 p.m.",https://pbs.twimg.com/profile_images/1563769430886203392/QfcZrWPv_normal.jpg
2023-02-25 18:35:21+00:00,1.4686932867391857e+18,"RT @buleriaz: cierta colombiana NUNCA podria escribir, producir, bailar y cantar una música como aislamiento ni si quisiera. rosi sigue sie…",,,es,Mariana Flores,Mf7887768Flores,,False,Fans de anuel aa,https://pbs.twimg.com/profile_images/1469887047011819527/KJS9wOG9_normal.jpg
2023-02-25 18:13:43+00:00,440439555.0,"Solo se enorgullece de su “madurez”…físicamente hablando.

Tiene casi 50 años y está sola.

Despechada y envidiosa, junto a otra tóxica colombiana, tiene(n) que hablar de la otra nueva pa vender música.

Mientras está Piqué jugando con Ronaldinho en la KingsLeague 😂 https://t.co/fuxURsFwsg",,,es,C®istian Pineda,Cri_Pineda,"Sevilla, España",False,"Jugador de fútbol, lector, y cinéfilo. “En la jungla de twitter vas a estar, hasta un 5 ó un 8 sacar”.🌴🦜 #SOSMarMenor",https://pbs.twimg.com/profile_images/1508139355419906052/GdTqI9qh_normal.jpg
