created_at,text,source,name,username,location,verified,description
2023-02-23 23:30:12+00:00,eu li que a composição é do Lin-Manuel Miranda e automaticamente ouvi Ariel fazendo rap com música colombiana https://t.co/gQUlSIkhcV,,ap,fuckuthur,"Rio de Janeiro, Brasil",False,"''STOP! STOP THE MADNESS!''
- Phoebe Buffay"
2023-02-23 22:54:33+00:00,"RT @NaomySafira: @fatouoficial Em teoria, um prêmio para música latina deve ser concedido a latinos e ela é europeia. Cantar música latina…",,bad bitch 🌶️,_abibs,onde é que eu tô?,False,- if I only could I'd make a deal with God and I'd get him to swap our places...
2023-02-23 21:46:20+00:00,"RT @vanguardiacom: El 37 Festival Nacional de la Música Colombiana, a realizarse del 13 al 20 de marzo en Ibagué, contará agrupación el Bar…",,Edwin Castañeda,PROCESOSONORO,"Bucaramanga, Colombia",False,"Maestro en Música de la Universidad Autónoma de Bucaramanga UNAB, donde actualmente dirige la cátedra de Tiple y la Orquesta de Cuerdas Pulsadas."
2023-02-23 21:46:02+00:00,Esta es la hora y el día del próximo éxito de la música colombiana. https://t.co/PQrg8Siyfe,,chafarderias,chafarderias_,,False,Los chismes y rumores de los famosos que nadie cuenta. Caben todos pero... ¡Han de ser ciertos!
2023-02-23 21:33:14+00:00,"RT @vanguardiacom: El 37 Festival Nacional de la Música Colombiana, a realizarse del 13 al 20 de marzo en Ibagué, contará agrupación el Bar…",,ElBarberoDelSocorro,barberosocorro,Colombia - Venezuela - España,False,"Acoustic Trio - Authentic Latin Music.

Hemos llevado nuestra música a más de 30 países del mundo y a todos los rincones de #Colombia. Amamos lo que hacemos."
2023-02-23 21:32:02+00:00,"RT @elespectador: .@MoratBanda presenta versión mariachi de “Debí suponerlo”, junto a Camila Fernández

La banda colombiana une su talento…",,tatin,tatin64197239,,False,
2023-02-23 21:22:36+00:00,"¡Así vivimos Nuestro Concierto de Gala de la Edición 37 del Festival Nacional de Música Colombiana!

La Cita es en la ciudad de Ibagué del 13 al 19 de Marzo 📌

Link: https://t.co/xxhPP8wl8T 🎵🎶▶️",,Fundación Musical de Colombia.,fundacionmuscol,Ibagué - Tolima,False,"Entidad de interés social que busca resaltar, impulsar y estimular las manifestaciones artísticas que llevan a la conservación de la música colombiana."
2023-02-23 21:08:29+00:00,RT @Banrepcultural: Hablemos de la historia social de la música colombiana. En nuestro Blog de Música está disponible la serie 'Composición…,,mamre-simplicio,mambre61,"Manizales, Colombia",False,"El pensamiento tiene necesidad de silencio. 
Es una expedición al silencio.
Agonía del Eros
Byung Chul Han"
2023-02-23 21:00:29+00:00,"Hablemos de la historia social de la música colombiana. En nuestro Blog de Música está disponible la serie 'Composición en Colombia', de ella hoy recomendamos la tercera entrega sobre cómo hechos de inicios del s.XX tuvieron eco en los sonidos de la época:
https://t.co/yV1w4R0EQv https://t.co/aFZOpj5HP9",,Banrepcultural,Banrepcultural,Colombia,False,"Red cultural del @BancoRepublica en 29 ciudades 🇨🇴

En Bogotá: Biblioteca Luis Ángel Arango #BLAA, #MuseoDelOro, #CasaDeMonedaBogotá, #MuseoBotero y #MAMU."
2023-02-23 21:00:02+00:00,"#FestivalDeMúsicaColombiana | Cerca de 400 niños y jóvenes serán parte de la apertura del #Festival Nacional de #Música #Colombiana

https://t.co/kcu4y5BMvJ https://t.co/ksQnBBYUf6",,El ⭕lfato,Elolfato,Colombia,False,"Tenemos El Olfato en cada noticia sobre Ibagué y Colombia. Medio digital e impreso más consultado por los líderes de opinión en el Tolima.
Periodismo + profundo"
